Овен,Овен,0
Телец,Овен,1/6
Близнецы,Овен,2/6
Рак,Овен,3/6
Лев,Овен,4/6
Дева,Овен,5/6
Весы,Овен,6/6
Скорпион,Овен,5/6
Стрелец,Овен,4/6
Козерог,Овен,3/6
Водолей,Овен,2/6
Рыбы,Овен,1/6
Телец,Телец,0
Близнецы,Телец,1/6
Рак,Телец,2/6
Лев,Телец,3/6
Дева,Телец,4/6
Весы,Телец,5/6
Скорпион,Телец,6/6
Стрелец,Телец,5/6
Козерог,Телец,4/6
Водолей,Телец,3/6
Рыбы,Телец,2/6
Близнецы,Близнецы,0
Рак,Близнецы,1/6
Лев,Близнецы,2/6
Дева,Близнецы,3/6
Весы,Близнецы,4/6
Скорпион,Близнецы,5/6
Стрелец,Близнецы,6/6
Козерог,Близнецы,5/6
Водолей,Близнецы,4/6
Рыбы,Близнецы,3/6
Рак,Рак,0
Лев,Рак,1/6
Дева,Рак,2/6
Весы,Рак,3/6
Скорпион,Рак,4/6
Стрелец,Рак,5/6
Козерог,Рак,6/6
Водолей,Рак,5/6
Рыбы,Рак,4/6
Лев,Лев,0
Дева,Лев,1/6
Весы,Лев,2/6
Скорпион,Лев,3/6
Стрелец,Лев,4/6
Козерог,Лев,5/6
Водолей,Лев,6/6
Рыбы,Лев,5/6
Дева,Дева,0
Весы,Дева,1/6
Скорпион,Дева,2/6
Стрелец,Дева,3/6
Козерог,Дева,4/6
Водолей,Дева,5/6
Рыбы,Дева,6/6
Весы,Весы,0
Скорпион,Весы,1/6
Стрелец,Весы,2/6
Козерог,Весы,3/6
Водолей,Весы,4/6
Рыбы,Весы,5/6
Скорпион,Скорпион,0
Стрелец,Скорпион,1/6
Козерог,Скорпион,2/6
Водолей,Скорпион,3/6
Рыбы,Скорпион,4/6
Стрелец,Стрелец,0
Козерог,Стрелец,1/6
Водолей,Стрелец,2/6
Рыбы,Стрелец,3/6
Козерог,Козерог,0
Водолей,Козерог,1/6
Рыбы,Козерог,2/6
Водолей,Водолей,0
Рыбы,Водолей,1/6
Рыбы,Рыбы,0